content,score,sentiment,cleaned_content
saya tidak bisa bikin akte kelahiran biodata sama nik bayi tidak muncul pilihannya jadi tidak bisa masukin nama sama nik bayinya,5,Positif,saya tidak bisa bikin akte kelahiran biodata sama nik bayi tidak muncul pilihannya jadi tidak bisa masukin nama sama nik bayinya
fitur bagikan g guna cuk padahal butuh file nya,1,Negatif,fitur bagikan g guna cuk padahal butuh file nya
developer tidak bisa buat aplikasi. tidak bisa dipakai,1,Negatif,developer tidak bisa buat aplikasi tidak bisa dipakai
"krna udah 2 minggu KTP fisik blum jadi, inisiatif cetak sendiri dikertas hvs,eeh gk bisa di download ktp nya buat di cetak...... mesti bagi via barcode. ribet pula.",1,Negatif,krna sudah minggu ktp fisik blum jadi inisiatif cetak sendiri dikertas hvseeh tidak bisa di download ktp nya buat di cetak mesti bagi via barcode ribet pula
gajelas amat ya,1,Negatif,gajelas amat ya
aplikasi sampah sangat tidak membantu. bingung jadi rakyat Indonesia segala birokrasi dipersulit,1,Negatif,aplikasi sampah sangat tidak membantu bingung jadi rakyat indonesia segala birokrasi dipersulit
tidak bisa di akses,1,Negatif,tidak bisa di akses
fitur pelayanan gk bisa di buka,1,Negatif,fitur pelayanan tidak bisa di buka
mantapn,5,Positif,mantapn
"katanya digitalisasi,tapi harus tetep offline",1,Negatif,katanya digitalisasitapi harus tetep offline
BURUK MENGECEWAKAN BUKAN MEMPERMUDAH MALAH RIBET,1,Negatif,buruk mengecewakan bukan mempermudah malah ribet
mantap,5,Positif,mantap
"aplikasi ga berguna, sama aja boong kalo harus Dateng ketempat buat verifikasi. mending sekalian bikin offline aja. coba bayangin, kelurahan ada di daerah jakarta, tapi orang nya lagi kerja di Kalimantan, pikir coba secara logika.",1,Negatif,aplikasi ga berguna sama saja boong kalau harus dateng ketempat buat verifikasi mending sekalian bikin offline saja coba bayangin kelurahan ada di daerah jakarta tapi orang nya lagi kerja di kalimantan pikir coba secara logika
aplikasi terlebih ribet.. daftar aja harus pakai barcode pembaca muka suka lama,1,Negatif,aplikasi terlebih ribet daftar saja harus pakai barcode pembaca muka suka lama
sampah,1,Negatif,sampah
apk tolol buang buang anggaran,1,Negatif,aplikasi tolol buang buang anggaran
kok gak bisa di bukak,2,Negatif,kok tidak bisa di bukak
bukan solusi untuk perantauan. tidak bisa daftar secara online.,1,Negatif,bukan solusi untuk perantauan tidak bisa daftar secara online
"masa harus ke kantor juga daftarnya, katanya via online",1,Negatif,masa harus ke kantor juga daftarnya katanya via online
baik sekali,5,Positif,baik sekali
pelayanan lambat jika lewat aplikasi.,1,Negatif,pelayanan lambat jika lewat aplikasi
", belum percaya aplikasi buatan dalam negeri, *karna file data gampang diretas*",1,Negatif,belum percaya aplikasi buatan dalam negeri karena file data gampang diretas
"kadang akun ke log out sendiri ,eh pas masuk tampilan ,pasword sudah gak bisa",1,Negatif,kadang akun ke log out sendiri eh pas masuk tampilan pasword sudah tidak bisa
Katanya digital tapi masih harus datang ke kantor hanya buat daftar doang!! Ini mah konsepnya mempersulit bukan mempermudah!!,1,Negatif,katanya digital tapi masih harus datang ke kantor hanya buat daftar doang ini mah konsepnya mempersulit bukan mempermudah
"mantap dgn adanya IKD memudahkan sy dlm segi apapun baik itu di per bank kan dan di intansi lainnya, mantap",5,Positif,mantap dengan adanya ikd memudahkan saya dalam segi apapun baik itu di per bank kan dan di intansi lainnya mantap
fitur unduh pdf nya di mana kok tidak jadi kesulitan karena ketika mau mencetak nya,1,Negatif,fitur unduh pdf nya di mana kok tidak jadi kesulitan karena ketika mau mencetak nya
Mantap.,5,Positif,mantap
"heran aplikasi bikinan pemerintah gak pernah ada yang beres. udh punya akun, cuma karena ganti hp, gak bisa login lagi, padahal semuanya dah ngikutin petunjuk, selfie ulang, dan pin yang benar, tetap aja gagal terus",2,Negatif,heran aplikasi bikinan pemerintah tidak pernah ada yang beres sudah punya akun cuma karena ganti hp tidak bisa login lagi padahal semuanya dah ngikutin petunjuk selfie ulang dan pin yang benar tetap saja gagal terus
"susah masuk nya ulang2 terus , kok sepertinya malah ribet ya",1,Negatif,susah masuk nya ulang terus kok sepertinya malah ribet ya
aplikasi cacat,1,Negatif,aplikasi cacat
"apkikasi sudah bagus, tampilan juga bagus, harusny kasih opsi lupa pin sih, krna dipaksa harus ingat pin ny",2,Negatif,apkikasi sudah bagus tampilan juga bagus harusny kasih opsi lupa pin sih krna dipaksa harus ingat pin ny
"bagi yang menanyakan kenapa suka terlogout sendiri ini itu susah,, ini menandakan aplikasi ini menjaga privasi kita semoga di mengerti",5,Positif,bagi yang menanyakan kenapa suka terlogout sendiri ini itu susah ini menandakan aplikasi ini menjaga privasi kita semoga di mengerti
kenapa harus tetap ke kantor juga kata nya digital online,1,Negatif,kenapa harus tetap ke kantor juga kata nya digital online
Kekurangan nya adalah SCAN BARCODE HARUS DARI KELURAHAN/KECAMATAN. Ini sangat tidak efisiensi dari segi waktu dan justru membingungkan pengguna yang awam.,1,Negatif,kekurangan nya adalah scan barcode harus dari kelurahankecamatan ini sangat tidak efisiensi dari segi waktu dan justru membingungkan pengguna yang awam
mudah dan sangat terjangkau,5,Positif,mudah dan sangat terjangkau
Ktnya Online tp msh hrs daftar di Kantor Dukcapil nya 🙄,1,Negatif,ktnya online tapi masih hrs daftar di kantor dukcapil nya
"dh ada aplikasi tp tetep harus offline ke kelurahan atau dispenduk capil, trus fungsinya aplikasi apa?",1,Negatif,dh ada aplikasi tapi tetep harus offline ke kelurahan atau dispenduk capil trus fungsinya aplikasi apa
tetap aja klo masuk perusahaan harus pakaj fisik nya,2,Negatif,tetap saja kalau masuk perusahaan harus pakaj fisik nya
"Aplikasi sampah, bikin akun saja harus di depan petugas, sekalian saja harus di depan MALAIKAT PENCABUT NYAWA 😆",1,Negatif,aplikasi sampah bikin akun saja harus di depan petugas sekalian saja harus di depan malaikat pencabut nyawa
"setelah error logout, jadi tidak kompatibel, padahal os 15, aplikasi pemerintah kok gini y",1,Negatif,setelah error logout jadi tidak kompatibel padahal os aplikasi pemerintah kok gini y
"terkadang sulit untuk membagikan gambar kk ,sudah ikut option bagi QR",5,Positif,terkadang sulit untuk membagikan gambar kk sudah ikut option bagi qr
apk pemerintah tapi kaya abal2,1,Negatif,aplikasi pemerintah tapi kaya abal
"ribet cuma mau pindai KK aja, lewat apk ini harus daftar ke kantor",1,Negatif,ribet cuma mau pindai kk saja lewat aplikasi ini harus daftar ke kantor
kenapa harus Regis ulang terus dan menerus. di saat akan di gunakan tdk bisa harus Regis lagi mana Gak bawa KTP fisik pula. huruf APLIKASI PAYAH,2,Negatif,kenapa harus regis ulang terus dan menerus di saat akan di gunakan tidak bisa harus regis lagi mana tidak bawa ktp fisik pula huruf aplikasi payah
apk ga jelas. minta selfy diklik kameranya ga bisa-bisa.,1,Negatif,aplikasi ga jelas minta selfy diklik kameranya ga bisabisa
online kok daftar nya harus ke kantor. kan tolol.,1,Negatif,online kok daftar nya harus ke kantor kan tolol
sangat bermanfaat,5,Positif,sangat bermanfaat
gak bisa masuk ke applikasi ikd,5,Positif,tidak bisa masuk ke applikasi ikd
mantap dah,5,Positif,mantap dah
"ini program digitalisasi online untuk berkas, tapi dari segi aplikasi pada saat pendaftaran harus scan ke kantor dulu untuk verifikasi, seharusnya jika rencana awal online,ya semua proses dari pendaftaran sampai verifikasi dilakukan full online, sehingga user yang mungkin jauh dari kantor dukcapil atau kelurahan tidak sulit dalam prosesnya. Tambahan lagi untuk fitur lupa password seharusnya ada & autentikasi 2 faktor ditambahkan",1,Negatif,ini program digitalisasi online untuk berkas tapi dari segi aplikasi pada saat pendaftaran harus scan ke kantor dulu untuk verifikasi seharusnya jika rencana awal onlineya semua proses dari pendaftaran sampai verifikasi dilakukan full online sehingga user yang mungkin jauh dari kantor dukcapil atau kelurahan tidak sulit dalam prosesnya tambahan lagi untuk fitur lupa password seharusnya ada autentikasi faktor ditambahkan
sangat penting buat kami,5,Positif,sangat penting buat kami
update2 apk ga ada hasilnya... tetap yg diutamakan lemot lemot..,1,Negatif,update aplikasi ga ada hasilnya tetap yang diutamakan lemot lemot
jika ada pembaruan agar bisa upload ganti foto KTP tanpa harus ke disdukcapil,4,Positif,jika ada pembaruan agar bisa upload ganti foto ktp tanpa harus ke disdukcapil
sangat baik,5,Positif,sangat baik
"apasih anjir mau download aja susah banget, ini kalo ada urgent gimana anjir, menunggu kode qr aja lama banget",1,Negatif,apasih anjir mau download saja susah banget ini kalau ada urgent gimana anjir menunggu kode qr saja lama banget
"BENCI BANGET, KENAPA HARUS BUAT APLIKASI KALO BUAT DAFTAR APLIKASI AJA HARUS OFFLINE SIH. MEMPERSULIT AJAAA LU APLIKASI BUATAN BOOMER",1,Negatif,benci banget kenapa harus buat aplikasi kalau buat daftar aplikasi saja harus offline sih mempersulit ajaaa kamu aplikasi buatan boomer
APLIKASI LEMOT.MASA CEK KARTU KELUARGA DAN AKTA LAHIR MALAH GA BISA MEMBACA.MUTER2 TERUS. MENDING PAKAI MODEL LAMA.BISA PAKE GOOGEL DAN APLIKASI CARA CEK NYA,2,Negatif,aplikasi lemotmasa cek kartu keluarga dan akta lahir malah ga bisa membacamuter terus mending pakai model lamabisa pakai googel dan aplikasi cara cek nya
gajelas,1,Negatif,gajelas
ini apk gimna..kagak bisa unduh dan bagikan berkas🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️ udah tau mau ngprint..mau bagikan..loadingnya lama amat,2,Negatif,ini aplikasi gimnakagak bisa unduh dan bagikan berkas sudah tau mau ngprintmau bagikanloadingnya lama amat
RIBET BIKIN AKUN NYA. TIDAK MEMPERMUDAH,1,Negatif,ribet bikin akun nya tidak mempermudah
"Tdk bisa di instal dengan android versi 13 dan minimal RAM mesti 4 GB.Aplikask tdk berguna! Mobile BCA sj mudah untuk diinstal! Sangat sulit masyarakat luas menggunakan aplikasi ini, karena tdk semudah menginstal aplikasi lainnya seperti Toped, Lazada, Shope dan Mobile Bangking!",1,Negatif,tidak bisa di instal dengan android versi dan minimal ram mesti gbaplikask tidak berguna mobile bca sj mudah untuk diinstal sangat sulit masyarakat luas menggunakan aplikasi ini karena tidak semudah menginstal aplikasi lainnya seperti toped lazada shope dan mobile bangking
mantap bro,5,Positif,mantap bro
semoga bermanfaat...!!,5,Positif,semoga bermanfaat
"Alhamdulillah aplikasinya berfungsi dengan baik dan semestinya, ...",5,Positif,alhamdulillah aplikasinya berfungsi dengan baik dan semestinya
kenapa di hp saya yg sudah andorid 13 tidak bisa download aplikasi IKD? tolong penjelasannya🙏🏻,5,Positif,kenapa di hp saya yang sudah andorid tidak bisa download aplikasi ikd tolong penjelasannya
apk nya tidak bisa online,1,Negatif,aplikasi nya tidak bisa online
mau daftar pun harus ke petugas dulu ribet,1,Negatif,mau daftar pun harus ke petugas dulu ribet
tidak bisa diakses selalu keluar izin penyimpanan,1,Negatif,tidak bisa diakses selalu keluar izin penyimpanan
walaupun sudah memiliki akun...tetap saja masuknya mempersulit. bukan mempermudah . . tidak dengan pin atau pasword . malah mengisi nik. nama lengkap.. seperti mengisi formulir pendaftaran .. kalau keadaan darurat tidak bawa ktp sama saja gk guna,1,Negatif,walaupun sudah memiliki akuntetap saja masuknya mempersulit bukan mempermudah tidak dengan pin atau pasword malah mengisi nik nama lengkap seperti mengisi formulir pendaftaran kalau keadaan darurat tidak bawa ktp sama saja tidak guna
"ngapain minta perizinan ke folder foto video hp, cuman camerakan bisa aneh2 aja",1,Negatif,ngapain minta perizinan ke folder foto video hp cuman camerakan bisa aneh saja
Tujuan aplikasi itu biar semuanya online. Ehhh daftarnya tetep harus offline. DUUNGUUUUU!!,1,Negatif,tujuan aplikasi itu biar semuanya online ehhh daftarnya tetep harus offline duunguuuuu
"aplikasi gak jelas,berapa kali ulangin aja GK bisa terus,jelek aplikasi nya,orang dibikin pusing,tidak mendukung untuk dipakai,",1,Negatif,aplikasi tidak jelasberapa kali ulangin saja tidak bisa terusjelek aplikasi nyaorang dibikin pusingtidak mendukung untuk dipakai
bikin capek ngapain lagi ketemu petugas sekali online ttp online,1,Negatif,bikin capek ngapain lagi ketemu petugas sekali online ttp online
aplikasi gak jelas. katanya mempermudah gak harus ribet ke kantor nyatanya pas login harus bikin akun menghadap ke petugas langsung di kantor. hadehh mana kantor Capil jauh lagi. huhhh,1,Negatif,aplikasi tidak jelas katanya mempermudah tidak harus ribet ke kantor nyatanya pas login harus bikin akun menghadap ke petugas langsung di kantor hadehh mana kantor capil jauh lagi huhhh
mantap,5,Positif,mantap
aplikasi engga guna buang buang uang negara,1,Negatif,aplikasi engga guna buang buang uang negara
aplikasi negri emg preet bgt .. mempersulit. sama keq mulyono dkk,1,Negatif,aplikasi negri emg preet banget mempersulit sama keq mulyono dkk
bijimana ceritanya mo buat gampang tapi tetep susah... belom punya akun disuruh dateng ke dukcapil...sama ajah bodong,1,Negatif,bijimana ceritanya mo buat gampang tapi tetep susah belom punya akun disuruh dateng ke dukcapilsama ajah bodong
donwload dokumen kk dan ktp nya gimana ini g ad pilihan download mau d ss jg g bisa,1,Negatif,donwload dokumen kk dan ktp nya gimana ini g ad pilihan download mau d ss jg g bisa
"gak ada gunanya, untuk aktifkan aja masih harus datang ke kantor Capil nya.masih bagusan apk Kaltim login enak,mudah, urus dokumen secara online cepat lagi gak lemot gak berbelit belit",1,Negatif,tidak ada gunanya untuk aktifkan saja masih harus datang ke kantor capil nyamasih bagusan aplikasi kaltim login enakmudah urus dokumen secara online cepat lagi tidak lemot tidak berbelit belit
"tidak tiap orang punya email,gimana yg udah sepuh..ga bisa pakai fasilitas ini. harusnya pakai NIK+sidik jari/KTP udah lebih dr cukup untuk bisa login.. 10 April 2026: coba instal aplikasi ini lagi,ga bisa login. coba cek daftar pengguna baru, eh harus datang langsung..apa gunanya aplikasi ini klo udah datang langsung,kocak aplikasi ini. negera ini cuma latah apa² bikin aplikasi tapi ga menyelesaikan masalah",1,Negatif,tidak tiap orang punya emailgimana yang sudah sepuhga bisa pakai fasilitas ini harusnya pakai niksidik jariktp sudah lebih dari cukup untuk bisa login april coba instal aplikasi ini lagiga bisa login coba cek daftar pengguna baru eh harus datang langsungapa gunanya aplikasi ini kalau sudah datang langsungkocak aplikasi ini negera ini cuma latah apa² bikin aplikasi tapi ga menyelesaikan masalah
sangat bagus,5,Positif,sangat bagus
"Aplikasi gila, gak bisa download KK lewat hp. Qr qode tak bisa di scan. Kedukcapil jauh perjalanan. Kalau bisa dipersulit untuk apa dipermudah.",1,Negatif,aplikasi gila tidak bisa download kk lewat hp qr qode tak bisa di scan kedukcapil jauh perjalanan kalau bisa dipersulit untuk apa dipermudah
makin lama aplikasi makin tidak jelas proses sana saja harus ke dinas setempat...bukan mempermudah malah memperlambat..buang buang angaran saja..buat cetak kk atau cetak akte sana saja harus ke dinas setempat,1,Negatif,makin lama aplikasi makin tidak jelas proses sana saja harus ke dinas setempatbukan mempermudah malah memperlambatbuang buang angaran sajabuat cetak kk atau cetak akte sana saja harus ke dinas setempat
"niatnya mau daftar dirumah malah gabisa karena harus dateng kekantor dan daftar didepan operator, ribet beneer",1,Negatif,niatnya mau daftar dirumah malah gabisa karena harus dateng kekantor dan daftar didepan operator ribet beneer
oke,5,Positif,oke
Sangat memuaskan,1,Negatif,sangat memuaskan
sangat membatu untuk pegurusan dengan cepat,5,Positif,sangat membatu untuk pegurusan dengan cepat
terimakasih,5,Positif,terimakasih
"katanya online tapi harus ke dukcapil, tolol bukanya memper mudah malah sama aja, ujung ujung nya duit lagi",1,Negatif,katanya online tapi harus ke dukcapil tolol bukanya memper mudah malah sama saja ujung ujung nya duit lagi
apk nya sangat berguna dan bermanfaat,5,Positif,aplikasi nya sangat berguna dan bermanfaat
"setelah update aplikasi malah gk ada fitur unduh dokumen, sedangkan di daerah² kampung apa² msh butuh cetakan. tambahkan fitur unduh supaya aplikasi berguna bagi masyarakat.",1,Negatif,setelah update aplikasi malah tidak ada fitur unduh dokumen sedangkan di daerah² kampung apa² masih butuh cetakan tambahkan fitur unduh supaya aplikasi berguna bagi masyarakat
pelayanan nya baik,5,Positif,pelayanan nya baik
mantap,5,Positif,mantap
punya saya ko gak ada pelayanan lahir anak wni jadi susah mau buat kk baru gimana cara ufdate yh,1,Negatif,punya saya ko tidak ada pelayanan lahir anak wni jadi susah mau buat kk baru gimana cara ufdate yh
"sifatnya buat cadangan aja kalo lupa bawa KTP, ttp kemana kemana bawa ktp fisik",5,Positif,sifatnya buat cadangan saja kalau lupa bawa ktp ttp kemana kemana bawa ktp fisik
bagus sekali,5,Positif,bagus sekali
pelayan nya sangat baik dan cepat,5,Positif,pelayan nya sangat baik dan cepat
lefeksif dan efisien,5,Positif,lefeksif dan efisien
good,5,Positif,good
good,5,Positif,good
"minim pelayanan, tidak disarankan digunakan",1,Negatif,minim pelayanan tidak disarankan digunakan
"kenapa buat HP oppo a77s tidak bisa download lagi,",5,Positif,kenapa buat hp oppo as tidak bisa download lagi
Menu Pelayanan tidak bisa diakses,1,Negatif,menu pelayanan tidak bisa diakses
aplikasi ini sangat tidak membantu,1,Negatif,aplikasi ini sangat tidak membantu
oke,5,Positif,oke
"aplikasi dongo , online tapi daftar harus depan petugas kan kocak , Konoha ini ada ada aja gebrakannya",1,Negatif,aplikasi dongo online tapi daftar harus depan petugas kan kocak konoha ini ada ada saja gebrakannya
sangat bermanfaat,5,Positif,sangat bermanfaat
sangat membantu,5,Positif,sangat membantu
heran digitalisasi macam apaaaa ini. harus daftarnya via ofline pulak alamaaaakkk,1,Negatif,heran digitalisasi macam apaaaa ini harus daftarnya via ofline pulak alamaaaakkk
sangat membantu,5,Positif,sangat membantu
"tolong ditambahkan fitur keluhan, karena saya dari hari Selasa tgl 7/4/26 sampai saat ini permintaan tambah anggota kk (anak baru lahir) belum diproses. semisal ada kesalahan input foto buku pernikahan dll seharusnya jangan ditolak tapi suruh revisi. sedangkan temen lewat calo bisa tapi bayar 100rb, harusnya dengan adanya ini bisa mempermudah pengurusan buat yang sibuk kerja. kasian kan, udah pajak mahal masih bayar calo lagi gara2 sibuk kerja d luar kota.",1,Negatif,tolong ditambahkan fitur keluhan karena saya dari hari selasa tgl sampai saat ini permintaan tambah anggota kk anak baru lahir belum diproses semisal ada kesalahan input foto buku pernikahan dll seharusnya jangan ditolak tapi suruh revisi sedangkan temen lewat calo bisa tapi bayar rb harusnya dengan adanya ini bisa mempermudah pengurusan buat yang sibuk kerja kasian kan sudah pajak mahal masih bayar calo lagi gara sibuk kerja d luar kota
"dokumen tidak bisa di Unduh, Lawak",1,Negatif,dokumen tidak bisa di unduh lawak
bagus,5,Positif,bagus
Tolong diberikan fitur unduh/download seperti versi aplikasi sebelumnya karena tidak bisa unduh/download Kartu Keluarga dari IKD,1,Negatif,tolong diberikan fitur unduhdownload seperti versi aplikasi sebelumnya karena tidak bisa unduhdownload kartu keluarga dari ikd
aplikasi payah..g mutu...udh g bisa diakses..jangan2 cuma mau ambil data masyarakat,1,Negatif,aplikasi payahg mutuudh g bisa diaksesjangan cuma mau ambil data masyarakat
Makasih,1,Negatif,makasih
"anggaran besar, tapi masih butut.",1,Negatif,anggaran besar tapi masih butut
terima kasih,5,Positif,terima kasih
ONLINE TAPI DAFTAR HARUS OFFLINE. CUIHH,1,Negatif,online tapi daftar harus offline cuihh
oke,5,Positif,oke
sangat membantu untuk melihat identitas,5,Positif,sangat membantu untuk melihat identitas
katanya online tapi kenapa harus ke Capil juga,2,Negatif,katanya online tapi kenapa harus ke capil juga
kenapa ya pas mau poto gabisa,1,Negatif,kenapa ya pas mau poto gabisa
"cara download dokumen KK gimana njir, lol",1,Negatif,cara download dokumen kk gimana njir lol
"gak jelas, verifikasi pinnya udah bener tapi dianggep salah terus, mana kalo mau reset pin harus ke petugas dulu, padahal katanya dibuat untuk mempermudah",1,Negatif,tidak jelas verifikasi pinnya sudah bener tapi dianggep salah terus mana kalau mau reset pin harus ke petugas dulu padahal katanya dibuat untuk mempermudah
oke bqguz,5,Positif,oke bqguz
sanagat jelek tidak ada guna bukan mempermudah hanya mempersulit bagaimana jika kita sedang tidak ada diprovinsi sendiri dan btuh identitas urgen,1,Negatif,sanagat jelek tidak ada guna bukan mempermudah hanya mempersulit bagaimana jika kita sedang tidak ada diprovinsi sendiri dan btuh identitas urgen
belum memudahkan,1,Negatif,belum memudahkan
"GAK BS DONLOT KK & AKTE....PERMUDAH LAAAHHHHH, ZAMAN DIGITAL BUKAN ZAMAN BATU",1,Negatif,tidak bisa donlot kk aktepermudah laaahhhhh zaman digital bukan zaman batu
