content,score,sentiment,cleaned_content
sangat baik,5,Positif,sangat baik
bagus,5,Positif,bagus
Sangat membantu untuk menjaga kesehatan..,5,Positif,sangat membantu untuk menjaga kesehatan
bagus membantu.tapi saat ini kami mau simpan klik lokasi gk bisa muncul apa memang lagi error aplikasinya.trimakasih,1,Negatif,bagus membantutapi saat ini kami mau simpan klik lokasi tidak bisa muncul apa memang lagi error aplikasinyatrimakasih
"saya tidak pernah mendaftar untuk CKG sebelumnya. Saat ini baru mau mendaftar dan tau-tau sudah terdaftar tapi tanggalnya sudah terlewat. Mau ubah tanggal malah gak bisa, katanya disuruh cek tahun depan aja. Bagaimana ini solusinya?",1,Negatif,saya tidak pernah mendaftar untuk ckg sebelumnya saat ini baru mau mendaftar dan tautau sudah terdaftar tapi tanggalnya sudah terlewat mau ubah tanggal malah tidak bisa katanya disuruh cek tahun depan saja bagaimana ini solusinya
"Sejauh saya menggunakan Fasilitas ini Cukup dan Sangat membantu sekali, trimakasih 🙏😇",5,Positif,sejauh saya menggunakan fasilitas ini cukup dan sangat membantu sekali trimakasih
"akun sudah lama punya, setelah update terbaru malah gak bisa login, selalu notifikasi nya ""Permintaan tidak valid"". sudah lupa password,lupa akun,setelah berhasil reset tetap aja gak bisa login.",1,Negatif,akun sudah lama punya setelah update terbaru malah tidak bisa login selalu notifikasi nya permintaan tidak valid sudah lupa passwordlupa akunsetelah berhasil reset tetap saja tidak bisa login
"susah ga bisa login, pake no hp kode otp ga masuk masuk",1,Negatif,susah ga bisa login pakai no hp kode otp ga masuk masuk
oke,5,Positif,oke
aplikasi sangat berguna,5,Positif,aplikasi sangat berguna
mantap,5,Positif,mantap
Top,5,Positif,top
selama ini tidak ada masalah cuma ini kenapa ada kendala ketika memasukkan hasil cek gula darah tidak mau terinput. sedangkan utk kolesterol dan asam urat tidak ada masalah. selebihnya mantap dan bermanfaat utk cek kesehatan setiap bulan,5,Positif,selama ini tidak ada masalah cuma ini kenapa ada kendala ketika memasukkan hasil cek gula darah tidak mau terinput sedangkan untuk kolesterol dan asam urat tidak ada masalah selebihnya mantap dan bermanfaat untuk cek kesehatan setiap bulan
lebih mudah,5,Positif,lebih mudah
"GAK GUNA, UDAH TES KESAHATAN DARI TAHUN LALU, SAMPE SEKARANG GK ADA HASILNYA.",1,Negatif,tidak guna sudah tes kesahatan dari tahun lalu sampe sekarang tidak ada hasilnya
"Pemeriksaan gratis sdh sangat bagus dan sangat bermanfaat, semua pemeriksaan lancar, tdk ada masalah. Trimakasih utk pemerintah sdh mengadakan program ini.",5,Positif,pemeriksaan gratis sudah sangat bagus dan sangat bermanfaat semua pemeriksaan lancar tidak ada masalah trimakasih untuk pemerintah sudah mengadakan program ini
no telpon saya lupa suru di ingetin mana inget coba aneh percuma ini gk bisa login dengan cara apapun bantuan tidak ada. jelek bngt,1,Negatif,no telpon saya lupa suru di ingetin mana inget coba aneh percuma ini tidak bisa login dengan cara apapun bantuan tidak ada jelek bngt
pelayanan ramah cepat dan tanggap terima kasih para abdi masyarakat di puskesmas satelit..,5,Positif,pelayanan ramah cepat dan tanggap terima kasih para abdi masyarakat di puskesmas satelit
semoga kedepannya semakin lancar,5,Positif,semoga kedepannya semakin lancar
trimakasih kegiatan ini bagus untuk mengecek secara dini gangguan yg dialami,5,Positif,trimakasih kegiatan ini bagus untuk mengecek secara dini gangguan yang dialami
utk catatan kesehatan pribadi sangat membantu,5,Positif,untuk catatan kesehatan pribadi sangat membantu
Sangat memuaskan. pelayanannya Prima,5,Positif,sangat memuaskan pelayanannya prima
"aplikasi gak jelas, gak guna",1,Negatif,aplikasi tidak jelas tidak guna
"ngga bisa masuk,ketik no pin gagal terus.coba lupa pin setelah bikin baru,tetap ngga bisa masuk bilangnya pin salah",1,Negatif,ngga bisa masukketik no pin gagal teruscoba lupa pin setelah bikin barutetap ngga bisa masuk bilangnya pin salah
sussah untuk login,1,Negatif,sussah untuk login
Sangat membantu dan bermanfaat,5,Positif,sangat membantu dan bermanfaat
ok,5,Positif,ok
"saya mau cek sertifikat vaksin, tapi setiap login saya tidak bisa masuk dengan alasan ""sepertinya permintaan anda tidak valid""",1,Negatif,saya mau cek sertifikat vaksin tapi setiap login saya tidak bisa masuk dengan alasan sepertinya permintaan anda tidak valid
HP saya sudah tidak bisa update lagi.,2,Negatif,hp saya sudah tidak bisa update lagi
rekomendasi,5,Positif,rekomendasi
baik,5,Positif,baik
"setelah cek ckg tidak lama dpt info, lanjutkan",4,Positif,setelah cek ckg tidak lama dapat info lanjutkan
good,5,Positif,good
apk eror,1,Negatif,aplikasi eror
Banyak Bug,1,Negatif,banyak bug
"terlalu banyak kendala, ada menu sinkron dg IKD tp tidak bisa, login dg data yang sdh ada tp tertolak, reset pin sudah tetap tidak bisa login",1,Negatif,terlalu banyak kendala ada menu sinkron dg ikd tapi tidak bisa login dg data yang sudah ada tapi tertolak reset pin sudah tetap tidak bisa login
GOODLUCK EVERY BODY🇦🇺🇦🇺,5,Positif,goodluck every body
selalu update info nya,5,Positif,selalu update info nya
"[sudah isi link formulir keluhan tapi tidak ada tanggapan]. saya belum daftar CKG kenapa sudah keluar hasil rapornya? tinggi badan saya 153cm di rapor 160cm? punya siapa itu? ulasan hanya dibalas otomatis, sangat buruk aplikasinya.",1,Negatif,sudah isi link formulir keluhan tapi tidak ada tanggapan saya belum daftar ckg kenapa sudah keluar hasil rapornya tinggi badan saya cm di rapor cm punya siapa itu ulasan hanya dibalas otomatis sangat buruk aplikasinya
"Aplikasi error, tidak bisa menambahkan catatan kesehatan gula darah, bahkan data yg sudah ada malah hilang.",1,Negatif,aplikasi error tidak bisa menambahkan catatan kesehatan gula darah bahkan data yang sudah ada malah hilang
"JELEK RIBET BANGET ,SUSAH BANGET BANYAK BUG",1,Negatif,jelek ribet banget susah banget banyak bug
di ganti pin gabisa,1,Negatif,di ganti pin gabisa
baik untuk mengukur kesehatan,4,Positif,baik untuk mengukur kesehatan
Aplikasi bagus,5,Positif,aplikasi bagus
dengan adanya ini menjadi lebih tau tentang info kesehatan,5,Positif,dengan adanya ini menjadi lebih tau tentang info kesehatan
"Saya sudah pernah vaksin meningitis, vaksin flu saat akan berangkat Haji pada Tahun 2024 tetapi tidak tampil di sertifikat vaksin.",4,Positif,saya sudah pernah vaksin meningitis vaksin flu saat akan berangkat haji pada tahun tetapi tidak tampil di sertifikat vaksin
baik menyenangkan,4,Positif,baik menyenangkan
memuaskan,5,Positif,memuaskan
Tolong sistemnya di perpaiki saya mau unduh sertifikat vaksin saya tidak bisa coba lagi coba lgi keterangan nya,1,Negatif,tolong sistemnya di perpaiki saya mau unduh sertifikat vaksin saya tidak bisa coba lagi coba lgi keterangan nya
tidak bisa dibuka,1,Negatif,tidak bisa dibuka
kenapa data saya tidak bisa untuk daftar cek kesehatan tidak bisa du submit karena nik tdk sesuai padahal sudah sesuai,1,Negatif,kenapa data saya tidak bisa untuk daftar cek kesehatan tidak bisa du submit karena nik tidak sesuai padahal sudah sesuai
"Dengan pelayanan yang ramah , dan peralatan medis yg memadai dsn bersih ,saya merasa nyaman dan puas...top ok untuk puskesmas kuta II. Suksma...",5,Positif,dengan pelayanan yang ramah dan peralatan medis yang memadai dsn bersih saya merasa nyaman dan puastop ok untuk puskesmas kuta ii suksma
Lumayan bagus Satu sehat,5,Positif,lumayan bagus satu sehat
"saya pertama kali melakukan Cek Kesehatan Gratis dalam rangka ulang tahun.Tapi dilembar hasil pada di pos terakhir banyak salah dan ngawur. Saya sedang tidak sakit telinga tapi di hasil jd sakit telinga, mata saya minus tapi hasilnya di anggap normal saja diinfokan dari nakes yg mengisi skrining. saat ditanyain pun sangat minim atau beberapa saja. banyak tes yg di skip alias tidak ada tes sama sekali tetapi di hasil dinyatakan normal. seperti skirining sendiri jawab sendiri.Gak guna jadinya",1,Negatif,saya pertama kali melakukan cek kesehatan gratis dalam rangka ulang tahuntapi dilembar hasil pada di pos terakhir banyak salah dan ngawur saya sedang tidak sakit telinga tapi di hasil jadi sakit telinga mata saya minus tapi hasilnya di anggap normal saja diinfokan dari nakes yang mengisi skrining saat ditanyain pun sangat minim atau beberapa saja banyak tes yang di skip alias tidak ada tes sama sekali tetapi di hasil dinyatakan normal seperti skirining sendiri jawab sendirigak guna jadinya
sangat bermanfaat,5,Positif,sangat bermanfaat
mau login dari kemarin gak bisa,1,Negatif,mau login dari kemarin tidak bisa
ga bisa login terus,1,Negatif,ga bisa login terus
sangat bgs Sekali,5,Positif,sangat bgs sekali
top,5,Positif,top
sangat membantu sekali dngn adanya aplikasi SATUSEHAT ini 👍👍👍,5,Positif,sangat membantu sekali dngn adanya aplikasi satusehat ini
"mantap,",5,Positif,mantap
"gabisa login, password dah diganti, sampai dicoba login jam sepi juga masih tulisannya permintaan anda tidak valid, aplikasi nya diperbaiki dong!! masa aplikasi untuk kepentingan administrasi dalam negri begini😮‍💨",1,Negatif,gabisa login password dah diganti sampai dicoba login jam sepi juga masih tulisannya permintaan anda tidak valid aplikasi nya diperbaiki dong masa aplikasi untuk kepentingan administrasi dalam negri begini
sangat membantu khususnya bagi saya yang selalu ingin sehat dan bugar serta seimbang dalam tatanan tubuhnya,5,Positif,sangat membantu khususnya bagi saya yang selalu ingin sehat dan bugar serta seimbang dalam tatanan tubuhnya
mantap,5,Positif,mantap
"data catatan kesehatan yang di isi mandiri, kalau ada ter log out jadi hilang, tidak tersimpan, mengecewakan",1,Negatif,data catatan kesehatan yang di isi mandiri kalau ada ter log out jadi hilang tidak tersimpan mengecewakan
Bagus,5,Positif,bagus
So far so good lah,5,Positif,so far so good lah
"Di coba tidak bisa, lupa pin tapi gak masuk- masuk padahal sudah berhasil ubah pin",1,Negatif,di coba tidak bisa lupa pin tapi tidak masuk masuk padahal sudah berhasil ubah pin
Hebat Super sekali 😎,5,Positif,hebat super sekali
"udah punya akun kenapa saya gak bisa masuk ke akun saya, tulisan nomor sudah digunakan terus, pas masukin pin salah terus padahal udah bner. saya sampe ganti pin beberapa kali salah terus pas mau login",2,Negatif,sudah punya akun kenapa saya tidak bisa masuk ke akun saya tulisan nomor sudah digunakan terus pas masukin pin salah terus padahal sudah bner saya sampe ganti pin beberapa kali salah terus pas mau login
tidak bisa connect ikd!!!,1,Negatif,tidak bisa connect ikd
"Berhubung di reply, ada bug pada opsi login menggunakan app ""Identitas Kependudukan Digital"", tolong di periksa",4,Positif,berhubung di reply ada bug pada opsi login menggunakan app identitas kependudukan digital tolong di periksa
sangat baik,5,Positif,sangat baik
iya gak bisa login.. isi kode OTP udah bener masih aja permintaan tidak valid.. hadeh..,1,Negatif,iya tidak bisa login isi kode otp sudah bener masih saja permintaan tidak valid hadeh
dapat mengetahui keadaan kesehatan kita di hp secara online 👍🙏,5,Positif,dapat mengetahui keadaan kesehatan kita di hp secara online
excellent banget,5,Positif,excellent banget
udah enggak bisa dipakai,1,Negatif,sudah enggak bisa dipakai
Jelek sekali! Gak bisa login sama sekali! Bikin aplikasi gak becus!,1,Negatif,jelek sekali tidak bisa login sama sekali bikin aplikasi tidak becus
point hilang,1,Negatif,point hilang
bagus,5,Positif,bagus
"tidak bisa masuk aplikasi, pin notif selalu salah padahal sudah reset pin berkali-kali",1,Negatif,tidak bisa masuk aplikasi pin notif selalu salah padahal sudah reset pin berkalikali
"nggak jelas. pin saya salah terus. sudah ganti pin, sudah saya masukan semua data. lah kalau urgent gimana? keburu lewat.",1,Negatif,tidak jelas pin saya salah terus sudah ganti pin sudah saya masukan semua data lah kalau urgent gimana keburu lewat
kreatif dan inovatif,5,Positif,kreatif dan inovatif
terima kasih tuk progam cek kesehatan gratisnya. bermanfaat sekali. ini tiap tahun kan ya?,5,Positif,terima kasih tuk progam cek kesehatan gratisnya bermanfaat sekali ini tiap tahun kan ya
terbaik,5,Positif,terbaik
Bgusssss,4,Positif,bgusssss
"SUDAH ADA JKN KENAPA MASIH PAKAI SATU SEHAT DAN JUGA, MALAH RIBET APLIKASINYA. MALAH GAK BISA DI HAPUS AKUN. MEMORY HP JADI PENUH KARENA APLIKASI DOUBLE",1,Negatif,sudah ada jkn kenapa masih pakai satu sehat dan juga malah ribet aplikasinya malah tidak bisa di hapus akun memory hp jadi penuh karena aplikasi double
permintaan anda tidak valid. tidak bisa login,1,Negatif,permintaan anda tidak valid tidak bisa login
Terbaik.,5,Positif,terbaik
setuju menjadi tanggung jawab kesehatan di satu sehat,5,Positif,setuju menjadi tanggung jawab kesehatan di satu sehat
"boro² login, aplikasi di klik tok loading lamaaaa. udah nunggu lama malah blank",2,Negatif,boro² login aplikasi di klik tok loading lamaaaa sudah nunggu lama malah blank
"point ,/rewodnya di lanjut ya kak",5,Positif,point rewodnya di lanjut ya kak
"bisa berkomunikasi dg pihak kesehatan. karena sy baru buka, aktifkan hp.. pendaftaran untuk pemeriksaan kesehatan, saya tunda - daftar ulang ssdh idulfitr i (mengisi form) - tksh",5,Positif,bisa berkomunikasi dg pihak kesehatan karena saya baru buka aktifkan hp pendaftaran untuk pemeriksaan kesehatan saya tunda daftar ulang ssdh idulfitr i mengisi form tksh
Parah habis noh aplilas1nya...login ga bisa2 jelas2 password dh bener...forget pass sdh masukin otp error mulu keterangan permintaan tidak valid...ngaco nih dh pasti...paraaah2....pliss atuh...jgn ngawur gini..,1,Negatif,parah habis noh aplilasnyalogin ga bisa jelas password dh benerforget pass sudah masukin otp error mulu keterangan permintaan tidak validngaco nih dh pastiparaaahpliss atuhjgn ngawur gini
sangat membantu untuk mengetahui kondisi kesehatan,5,Positif,sangat membantu untuk mengetahui kondisi kesehatan
"Ini masih bermasalah, saya mau ubah ke bahasa Inggris gak bisa malah masih muncul bahasa Indonesia. Terus juga kalo sinyal hilang ini sangat riskan sekali hanya untuk masuk bioskop / mal saja sudah susah sekali Masih jadi masalah sampai sekarang dan saya tidak bisa masuk ke akun SatuSehat",1,Negatif,ini masih bermasalah saya mau ubah ke bahasa inggris tidak bisa malah masih muncul bahasa indonesia terus juga kalau sinyal hilang ini sangat riskan sekali hanya untuk masuk bioskop mal saja sudah susah sekali masih jadi masalah sampai sekarang dan saya tidak bisa masuk ke akun satusehat
sangat membantu,5,Positif,sangat membantu
kenapa ga bisa melakukan pendaftaran padahal blm pernah cek kesehatan sama sekali malah udh ada skrining nya,1,Negatif,kenapa ga bisa melakukan pendaftaran padahal belum pernah cek kesehatan sama sekali malah sudah ada skrining nya
sangat membantu dalam menjaga kesehatan,5,Positif,sangat membantu dalam menjaga kesehatan
kenapa aplikasi satu sehat waktu dibuka keluar sendiri aplikasinya,2,Negatif,kenapa aplikasi satu sehat waktu dibuka keluar sendiri aplikasinya
pelayanan yg baik,5,Positif,pelayanan yang baik
